frame	kind	x	y	w	h	area
103	PLANT	253	401	436	210	17166
103	PLANT	0	589	43	93	2186
103	PLANT	153	545	60	52	1628
103	VEL-HI	416	0	256	384	52
103	VEL-HI	0	64	96	96	4
103	VEL-LO	160	928	544	352	149
104	PLANT	255	399	392	158	14721
104	PLANT	0	587	45	94	2390
104	PLANT	155	543	60	54	1592
104	VEL-HI	416	0	224	416	48
104	VEL-HI	0	64	96	64	4
105	PLANT	259	399	386	152	14668
105	PLANT	0	585	47	94	2571
105	PLANT	157	543	61	56	1841
105	VEL-HI	416	0	224	416	49
106	PLANT	265	399	434	154	15405
106	PLANT	0	585	49	93	2829
106	PLANT	160	541	61	58	1879
106	VEL-HI	448	0	160	448	44
106	VEL-HI	608	736	64	96	4
107	PLANT	265	399	438	154	15763
107	PLANT	0	583	51	93	2984
107	PLANT	163	541	61	56	1831
107	VEL-HI	416	0	256	416	49
107	VEL-HI	640	736	64	64	4
108	PLANT	265	399	438	212	17460
108	PLANT	0	581	55	93	3133
108	PLANT	165	539	62	56	1839
108	VEL-HI	448	0	224	416	41
108	VEL-HI	608	704	96	160	11
109	PLANT	269	399	438	212	16871
109	PLANT	0	579	59	94	3172
109	PLANT	169	539	60	56	1830
109	VEL-HI	480	0	160	416	34
109	VEL-HI	96	960	96	96	5
110	PLANT	275	399	436	156	15587
110	PLANT	0	577	61	94	3298
110	PLANT	171	537	62	56	1840
110	VEL-HI	480	32	160	384	28
110	VEL-HI	512	736	96	128	5
110	VEL-LO	224	704	416	576	115
111	PLANT	277	399	443	154	16037
111	PLANT	0	577	65	92	3438
111	PLANT	175	537	62	55	1831
111	VEL-HI	512	32	160	384	29
111	VEL-HI	640	832	64	128	7
111	VEL-LO	64	960	640	320	86
112	PLANT	281	399	388	146	14866
112	PLANT	0	575	69	92	3505
112	PLANT	181	537	60	54	1810
112	VEL-HI	480	192	128	160	11
112	VEL-HI	32	896	160	128	8
112	VEL-LO	256	896	448	384	69
113	PLANT	287	399	433	148	16015
113	PLANT	0	573	73	92	3455
113	PLANT	185	535	61	54	1798
113	VEL-HI	544	224	96	128	6
113	VEL-HI	160	896	96	128	5
113	VEL-LO	192	544	384	320	57
114	PLANT	293	399	392	144	14922
114	PLANT	3	571	76	93	3547
114	PLANT	189	533	62	54	1667
114	VEL-HI	544	256	96	128	6
114	VEL-HI	640	1056	64	64	4
114	VEL-LO	224	544	256	320	43
115	PLANT	297	399	393	148	14841
115	PLANT	5	569	78	94	3549
115	PLANT	195	533	61	54	1813
115	VEL-HI	192	928	96	128	8
115	VEL-HI	544	704	96	96	5
115	VEL-LO	128	736	352	128	24
116	PLANT	305	401	415	216	17156
116	PLANT	9	569	80	92	3506
116	PLANT	202	531	60	54	1655
117	PLANT	313	401	407	130	14566
117	PLANT	16	565	79	96	3565
117	PLANT	209	529	60	56	1861
117	VEL-HI	576	0	128	160	11
117	VEL-HI	576	192	96	128	6
118	PLANT	321	401	399	132	15069
118	PLANT	23	565	78	94	3604
118	PLANT	215	529	62	56	1915
118	VEL-HI	544	0	160	352	27
118	VEL-HI	192	1152	96	96	6
118	VEL-LO	192	576	352	320	47
119	PLANT	329	401	391	144	15485
119	PLANT	31	563	78	95	3581
119	PLANT	223	529	60	55	1843
119	VEL-HI	512	64	160	320	27
119	VEL-LO	192	736	320	192	30
120	PLANT	337	401	383	142	15719
120	PLANT	42	561	77	95	3547
120	PLANT	231	529	61	54	1861
