frame	time	camMag	camDx	camDy	meanMag	maxMag	hiFrac	loFrac	localEnergy	plantArea	plantN	plantCx	plantCy	shadowFrac	shadowChange	shadowCx	shadowCy	luma
90	3.0030	0.000	0.000	0.000	0.011	2.828	0.0000	0.9909	0.0110	0.02515	3	398.4	522.0	0.0169	0.00153	242.9	709.2	128.77
91	3.0364	0.000	0.000	0.000	0.041	4.000	0.0023	0.9739	0.0409	0.02534	3	401.6	521.9	0.0199	0.00491	226.9	599.5	128.88
92	3.0697	0.000	0.000	0.000	0.078	8.000	0.0011	0.9682	0.0782	0.02519	3	400.0	522.1	0.0204	0.00137	222.0	602.2	129.01
93	3.1031	0.000	0.000	0.000	0.124	4.472	0.0102	0.9330	0.1238	0.02513	3	401.2	521.5	0.0248	0.00545	225.1	639.1	129.08
94	3.1365	0.000	0.000	0.000	0.312	14.000	0.0557	0.8568	0.3123	0.02519	3	397.7	521.3	0.0269	0.01309	304.0	472.9	129.17
95	3.1698	0.000	0.000	0.000	0.586	12.000	0.0295	0.7307	0.5860	0.02555	3	399.6	520.8	0.0305	0.01213	318.8	582.2	129.21
96	3.2032	0.000	0.000	0.000	1.040	20.396	0.0273	0.5716	1.0404	0.02588	3	402.5	522.3	0.0160	0.01496	247.1	707.4	129.28
97	3.2366	0.000	0.000	0.000	1.436	24.083	0.0330	0.4455	1.4362	0.02543	3	402.2	518.3	0.0211	0.00588	243.9	728.7	129.34
98	3.2699	2.000	-2.000	0.000	2.005	30.000	0.0443	0.3364	1.9164	0.02536	3	402.8	518.0	0.0209	0.00205	250.0	727.4	129.38
99	3.3033	2.000	-2.000	0.000	2.606	30.529	0.0511	0.2580	2.1891	0.02595	3	405.9	519.8	0.0204	0.00193	247.0	727.5	129.41
100	3.3367	2.000	-2.000	0.000	3.007	30.265	0.0614	0.1932	2.3759	0.02552	3	399.5	519.5	0.0207	0.00230	252.4	726.0	129.42
101	3.3700	2.000	-2.000	0.000	3.244	29.120	0.0614	0.1602	2.5774	0.02568	3	399.7	521.2	0.0169	0.00571	251.9	706.8	129.44
102	3.4034	2.000	-2.000	0.000	3.604	30.529	0.0636	0.1614	3.0175	0.02593	3	398.7	519.7	0.0208	0.00579	252.7	724.0	129.49
103	3.4368	2.000	-2.000	0.000	3.644	39.699	0.0659	0.1716	3.2165	0.02623	3	396.7	518.9	0.0202	0.00206	250.5	727.8	129.57
104	3.4701	2.000	-2.000	0.000	4.517	31.113	0.0602	0.4739	3.9096	0.02646	3	397.0	521.6	0.0201	0.00218	250.9	729.9	129.59
105	3.5035	2.000	-2.000	0.000	5.001	30.067	0.0591	0.4227	4.2956	0.02698	3	400.9	523.4	0.0161	0.00558	252.8	707.1	129.58
106	3.5369	2.000	-2.000	0.000	5.753	34.986	0.0636	0.3466	5.0579	0.02667	3	397.6	522.5	0.0161	0.00242	264.2	703.6	129.50
